#Ethiopia and Somalia

#8301 Lalibela - Ethiopian coptic
8282 = 8301
8283 = 8301
8284 = 8301
8285 = 8301
8288 = 8301
8289 = 8301
8290 = 8301
8291 = 8301
8292 = 8301
8293 = 8301
8294 = 8301
8295 = 8301
8296 = 8301
8297 = 8301
8298 = 8301
8299 = 8301
8300 = 8301
8308 = 8301
8309 = 8301
8310 = 8301
8316 = 8301
8317 = 8301
8318 = 8301
8319 = 8301
8320 = 8301
8321 = 8301
8322 = 8301
8323 = 8301
8324 = 8301
8325 = 8301
8328 = 8301
8329 = 8301
8352 = 8301
8353 = 8301
8367 = 8301
8386 = 8301

#8349 Silalish - Ethiopian coptic -> early ashari
8350 = 8349
8351 = 8349

#8356 Hadya - Ethiopian pagan -> ashari
8354 = 8356
8355 = 8356
8357 = 8356
8364 = 8356
8368 = 8356
8374 = 8356
8378 = 8356
8385 = 8356
8415 = 8356

#8304 Semien - Ethiopian haymanot
8303 = 8304 # jewish
8304 = 8304 # jewish
8305 = 8304 # jewish
8306 = 8304 # jewish
8307 = 8304 # jewish
8311 = 8304 # jewish
8312 = 8304 # jewish
8313 = 8304 # jewish
8314 = 8304 # jewish
8315 = 8304 # jewish
8366 = 8304 # jewish
8371 = 8304 # jewish
8372 = 8304 # jewish


#8400 Zaila - Somali Ashari
8346 = 8400
8347 = 8400
8348 = 8400
8346 = 8400
8393 = 8400
8396 = 8400
8397 = 8400
8398 = 8400
8399 = 8400
8401 = 8400
8402 = 8400
8403 = 8400
8404 = 8400
8406 = 8400
8407 = 8400
8424 = 8400
8425 = 8400
8426 = 8400
8429 = 8400
8430 = 8400
8431 = 8400
8432 = 8400
8460 = 8400
8461 = 8400
8462 = 8400
8463 = 8400
8464 = 8400

#8414 Dawaro - Somali pagan -> Ashari (11C)
8382 = 8414
8383 = 8414
8384 = 8414
8392 = 8414
8394 = 8414
8395 = 8414
8405 = 8414
8408 = 8414
8409 = 8414
8410 = 8414
8411 = 8414
8412 = 8414
8413 = 8414
8419 = 8414
8427 = 8414
8428 = 8414
8457 = 8414
8459 = 8414
8465 = 8414
8466 = 8414
8467 = 8414
8468 = 8414
8469 = 8414
8470 = 8414
8470 = 8414
8471 = 8414
8472 = 8414
8473 = 8414
8474 = 8414
8475 = 8414
8476 = 8414
8477 = 8414
8497 = 8414
8502 = 8414
8503 = 8414
8506 = 8414
8507 = 8414
8508 = 8414
8509 = 8414
8511 = 8414

#8417 Shabelle - Somali pagan
8416 = 8417
8418 = 8417
8420 = 8417
8421 = 8417
8422 = 8417
8423 = 8417
8458 = 8417
8490 = 8417
8491 = 8417
8492 = 8417
8493 = 8417
8494 = 8417
8495 = 8417
8496 = 8417
8498 = 8417
8499 = 8417
8500 = 8417
8501 = 8417
8504 = 8417
8505 = 8417
8510 = 8417
8512 = 8417
8513 = 8417

#8417 Kaffa - Welatya pagan
8358 = 8436
8359 = 8436
8360 = 8436
8361 = 8436
8362 = 8436
8363 = 8436
8365 = 8436
8369 = 8436
8370 = 8436
8373 = 8436
8375 = 8436
8376 = 8436
8377 = 8436
8379 = 8436
8380 = 8436
8381 = 8436
8387 = 8436
8388 = 8436
8389 = 8436
8390 = 8436
8450 = 8436
8435 = 8436
8437 = 8436
8438 = 8436
8451 = 8436
8452 = 8436
8453 = 8436
8454 = 8436
8455 = 8436
8456 = 8436
8478 = 8436
8479 = 8436
8480 = 8436
8481 = 8436
8482 = 8436
8483 = 8436
8484 = 8436
8485 = 8436
8486 = 8436
8487 = 8436
8488 = 8436
8489 = 8436
8514 = 8436
8515 = 8436
8516 = 8436
8517 = 8436
8518 = 8436

#8332 Edd - Afar ashari
8286 = 8332
8287 = 8332
8330 = 8332
8331 = 8332
8340 = 8332
8341 = 8332
8342 = 8332
8343 = 8332

#8336 Dabahu - Afar pagan
8326 = 8336
8327 = 8336
8333 = 8336
8334 = 8336
8335 = 8336
8337 = 8336
8338 = 8336
8339 = 8336
8344 = 8336
8345 = 8336
8391 = 8336

#Dahlak - Bedouin ashari - 6110 Aydhab in Nubia/Blemmyia
8280 = 6110
8281 = 6110

#Beja - coptic -> ashari 6113 Allaqi from Nubia/Blemmyia
8278 = 6113
